event_id,timestamp,vehicle_id,zone_id,event_type,parking_duration,occupancy,capacity,latitude,longitude,temperature,rainfall,day_of_week,is_holiday
E00041255,2026-01-01 00:03:51,V02107,Z004,ENTRY,0,1,82,19.114204,72.862924,25.68,0.0,3,1
E00206389,2026-01-01 00:06:16,V04046,Z013,ENTRY,0,1,118,19.132138,72.901104,25.68,0.0,3,1
E00092211,2026-01-01 00:10:16,V02582,Z006,ENTRY,0,1,133,19.043144,72.840742,25.68,0.0,3,1
E00008407,2026-01-01 00:12:02,V01344,Z002,ENTRY,0,1,122,19.127198,72.933743,25.68,0.0,3,1
E00206390,2026-01-01 00:12:02,V03728,Z013,ENTRY,0,2,118,19.132663,72.902555,25.68,0.0,3,1
E00178651,2026-01-01 00:17:05,V02419,Z012,ENTRY,0,1,147,19.058548,72.918615,25.68,0.0,3,1
E00008408,2026-01-01 00:17:27,V01099,Z002,ENTRY,0,2,122,19.126389,72.934774,25.68,0.0,3,1
E00092212,2026-01-01 00:19:17,V02456,Z006,ENTRY,0,2,133,19.044166,72.841416,25.68,0.0,3,1
E00303065,2026-01-01 00:20:54,V05975,Z016,ENTRY,0,1,124,19.038984,72.914272,25.68,0.0,3,1
E00041256,2026-01-01 00:22:15,V00317,Z004,ENTRY,0,2,82,19.115248,72.861387,25.68,0.0,3,1
E00092213,2026-01-01 00:27:45,V04460,Z006,ENTRY,0,3,133,19.043531,72.839886,25.68,0.0,3,1
E00163853,2026-01-01 00:31:58,V02653,Z011,ENTRY,0,1,93,19.106231,72.86939,25.68,0.0,3,1
E00342359,2026-01-01 00:39:33,V02958,Z017,ENTRY,0,1,91,19.071652,72.863572,25.68,0.0,3,1
E00362665,2026-01-01 00:40:16,V02951,Z019,ENTRY,0,1,130,19.035399,72.899834,25.68,0.0,3,1
E00389371,2026-01-01 00:40:52,V02874,Z020,ENTRY,0,1,84,19.098867,72.835152,25.68,0.0,3,1
E00163854,2026-01-01 00:41:19,V02117,Z011,ENTRY,0,2,93,19.106894,72.86959,25.68,0.0,3,1
E00008409,2026-01-01 00:43:29,V05108,Z002,ENTRY,0,3,122,19.126988,72.933457,25.68,0.0,3,1
E00362666,2026-01-01 00:48:40,V02013,Z019,ENTRY,0,2,130,19.035269,72.900208,25.68,0.0,3,1
E00259095,2026-01-01 00:49:01,V05471,Z015,ENTRY,0,1,116,19.109696,72.917602,25.68,0.0,3,1
E00178652,2026-01-01 00:50:05,V02419,Z012,EXIT,33,0,147,19.058205,72.917106,25.68,0.0,3,1
E00206391,2026-01-01 00:50:06,V02132,Z013,ENTRY,0,3,118,19.132758,72.90179,25.68,0.0,3,1
E00092214,2026-01-01 00:50:16,V02582,Z006,EXIT,40,2,133,19.042351,72.840113,25.68,0.0,3,1
E00206392,2026-01-01 00:54:34,V01996,Z013,ENTRY,0,4,118,19.133466,72.901365,25.68,0.0,3,1
E00303066,2026-01-01 00:59:54,V05975,Z016,EXIT,39,0,124,19.038847,72.91421,25.68,0.0,3,1
E00259096,2026-01-01 01:01:00,V04431,Z015,ENTRY,0,2,116,19.109494,72.91813,25.68,0.0,3,1
E00159525,2026-01-01 01:02:42,V04105,Z010,ENTRY,0,1,41,19.092369,72.898167,25.68,0.0,3,1
E00092215,2026-01-01 01:04:50,V01823,Z006,ENTRY,0,3,133,19.04421,72.840237,25.68,0.0,3,1
E00342360,2026-01-01 01:07:34,V03125,Z017,ENTRY,0,2,91,19.072643,72.864722,25.68,0.0,3,1
E00062745,2026-01-01 01:10:46,V00139,Z005,ENTRY,0,1,81,19.068451,72.873626,25.68,0.0,3,1
E00008410,2026-01-01 01:13:29,V00007,Z002,ENTRY,0,4,122,19.12779,72.933293,25.68,0.0,3,1
E00041257,2026-01-01 01:15:15,V00317,Z004,EXIT,53,1,82,19.115687,72.861264,25.68,0.0,3,1
E00303067,2026-01-01 01:17:45,V01646,Z016,ENTRY,0,1,124,19.038621,72.914685,25.68,0.0,3,1
E00259097,2026-01-01 01:20:54,V03679,Z015,ENTRY,0,3,116,19.108811,72.917878,25.68,0.0,3,1
E00259098,2026-01-01 01:22:00,V04431,Z015,EXIT,21,2,116,19.109045,72.91776,25.68,0.0,3,1
E00041258,2026-01-01 01:22:00,V05215,Z004,ENTRY,0,2,82,19.115666,72.861247,25.68,0.0,3,1
E00092216,2026-01-01 01:22:08,V04487,Z006,ENTRY,0,4,133,19.042463,72.840066,25.68,0.0,3,1
E00342361,2026-01-01 01:23:33,V02958,Z017,EXIT,44,1,91,19.0713,72.864439,25.68,0.0,3,1
E00259099,2026-01-01 01:25:01,V05471,Z015,EXIT,36,1,116,19.108912,72.917537,25.68,0.0,3,1
E00362667,2026-01-01 01:26:16,V02951,Z019,EXIT,46,1,130,19.034013,72.900099,25.68,0.0,3,1
E00008411,2026-01-01 01:26:29,V05108,Z002,EXIT,43,3,122,19.127515,72.933237,25.68,0.0,3,1
E00041259,2026-01-01 01:27:34,V01150,Z004,ENTRY,0,3,82,19.114451,72.861209,25.68,0.0,3,1
E00163855,2026-01-01 01:28:19,V02117,Z011,EXIT,47,1,93,19.107637,72.869454,25.68,0.0,3,1
E00062746,2026-01-01 01:29:11,V05419,Z005,ENTRY,0,2,81,19.069651,72.873905,25.68,0.0,3,1
E00222095,2026-01-01 01:32:05,V04332,Z014,ENTRY,0,1,121,19.123235,72.854819,25.68,0.0,3,1
E00222096,2026-01-01 01:36:46,V03507,Z014,ENTRY,0,2,121,19.122301,72.855753,25.68,0.0,3,1
E00163856,2026-01-01 01:38:59,V00966,Z011,ENTRY,0,2,93,19.106072,72.870126,25.68,0.0,3,1
E00092217,2026-01-01 01:42:17,V02456,Z006,EXIT,83,3,133,19.042425,72.840098,25.68,0.0,3,1
E00092218,2026-01-01 01:42:45,V04460,Z006,EXIT,75,2,133,19.042461,72.83971,25.68,0.0,3,1
E00389372,2026-01-01 01:43:52,V02874,Z020,EXIT,63,0,84,19.098183,72.834426,25.68,0.0,3,1
E00062747,2026-01-01 01:44:11,V05419,Z005,EXIT,15,1,81,19.069965,72.873989,25.68,0.0,3,1
E00062748,2026-01-01 01:44:25,V01960,Z005,ENTRY,0,2,81,19.069399,72.874443,25.68,0.0,3,1
E00062749,2026-01-01 01:44:46,V00139,Z005,EXIT,34,1,81,19.068381,72.873323,25.68,0.0,3,1
E00206393,2026-01-01 01:49:02,V03728,Z013,EXIT,97,3,118,19.131558,72.900854,25.68,0.0,3,1
E00008412,2026-01-01 01:49:02,V01344,Z002,EXIT,97,2,122,19.126251,72.934181,25.68,0.0,3,1
E00362668,2026-01-01 01:50:40,V02013,Z019,EXIT,62,0,130,19.03384,72.900374,25.68,0.0,3,1
E00259100,2026-01-01 01:50:54,V03679,Z015,EXIT,30,0,116,19.108933,72.916971,25.68,0.0,3,1
E00362669,2026-01-01 01:51:20,V00010,Z019,ENTRY,0,1,130,19.033686,72.900399,25.68,0.0,3,1
E00362670,2026-01-01 01:51:59,V04757,Z019,ENTRY,0,2,130,19.034798,72.899574,25.68,0.0,3,1
E00206394,2026-01-01 01:53:06,V02132,Z013,EXIT,63,2,118,19.131498,72.900763,25.68,0.0,3,1
E00389373,2026-01-01 01:53:10,V05012,Z020,ENTRY,0,1,84,19.098653,72.834129,25.68,0.0,3,1
E00092219,2026-01-01 01:55:50,V01823,Z006,EXIT,51,1,133,19.043906,72.839556,25.68,0.0,3,1
E00062750,2026-01-01 01:56:01,V01787,Z005,ENTRY,0,2,81,19.069743,72.874346,25.68,0.0,3,1
E00206395,2026-01-01 01:57:16,V04046,Z013,EXIT,111,1,118,19.132926,72.902403,25.68,0.0,3,1
E00206396,2026-01-01 01:57:38,V01408,Z013,ENTRY,0,2,118,19.131543,72.90077,25.68,0.0,3,1
E00025781,2026-01-01 01:59:46,V04849,Z003,ENTRY,0,1,108,19.092441,72.855846,25.68,0.0,3,1
E00178653,2026-01-01 02:01:25,V03412,Z012,ENTRY,0,1,147,19.059252,72.918282,25.68,0.0,3,1
E00206397,2026-01-01 02:02:34,V01996,Z013,EXIT,68,1,118,19.131769,72.901677,25.68,0.0,3,1
E00303068,2026-01-01 02:03:45,V01646,Z016,EXIT,46,0,124,19.03999,72.914914,25.68,0.0,3,1
E00259101,2026-01-01 02:05:04,V00090,Z015,ENTRY,0,1,116,19.109441,72.917813,25.68,0.0,3,1
E00178654,2026-01-01 02:09:46,V04411,Z012,ENTRY,0,2,147,19.059241,72.918202,25.68,0.0,3,1
E00041260,2026-01-01 02:11:51,V02107,Z004,EXIT,128,2,82,19.114534,72.861682,25.68,0.0,3,1
E00222097,2026-01-01 02:15:05,V04332,Z014,EXIT,43,1,121,19.123364,72.85566,25.68,0.0,3,1
E00062751,2026-01-01 02:17:15,V00746,Z005,ENTRY,0,3,81,19.068635,72.873242,25.68,0.0,3,1
E00152397,2026-01-01 02:20:09,V05878,Z009,ENTRY,0,1,54,19.11449,72.845658,25.68,0.0,3,1
E00178655,2026-01-01 02:22:29,V01919,Z012,ENTRY,0,3,147,19.057982,72.918571,25.68,0.0,3,1
E00389374,2026-01-01 02:22:33,V01330,Z020,ENTRY,0,2,84,19.09734,72.835085,25.68,0.0,3,1
E00163857,2026-01-01 02:28:59,V00966,Z011,EXIT,50,1,93,19.107822,72.869285,25.68,0.0,3,1
E00062752,2026-01-01 02:30:01,V01787,Z005,EXIT,34,2,81,19.069546,72.874873,25.68,0.0,3,1
E00362671,2026-01-01 02:32:20,V00010,Z019,EXIT,41,1,130,19.034647,72.89916,25.68,0.0,3,1
E00062753,2026-01-01 02:33:28,V02370,Z005,ENTRY,0,3,81,19.0686,72.874521,25.68,0.0,3,1
E00206398,2026-01-01 02:34:06,V04991,Z013,ENTRY,0,2,118,19.132349,72.901616,25.68,0.0,3,1
E00259102,2026-01-01 02:36:11,V02697,Z015,ENTRY,0,2,116,19.10977,72.917743,25.68,0.0,3,1
E00041261,2026-01-01 02:37:00,V05291,Z004,ENTRY,0,3,82,19.114971,72.862781,25.68,0.0,3,1
E00259103,2026-01-01 02:37:04,V00090,Z015,EXIT,32,1,116,19.110163,72.917711,25.68,0.0,3,1
E00092220,2026-01-01 02:38:56,V05157,Z006,ENTRY,0,2,133,19.043218,72.840091,25.68,0.0,3,1
E00362672,2026-01-01 02:39:18,V05354,Z019,ENTRY,0,2,130,19.034709,72.900131,25.68,0.0,3,1
E00092221,2026-01-01 02:39:26,V04786,Z006,ENTRY,0,3,133,19.043884,72.840496,25.68,0.0,3,1
E00008413,2026-01-01 02:47:27,V01099,Z002,EXIT,150,1,122,19.128121,72.934795,25.68,0.0,3,1
E00062754,2026-01-01 02:48:25,V01960,Z005,EXIT,64,2,81,19.06898,72.874074,25.68,0.0,3,1
E00062755,2026-01-01 02:50:28,V02370,Z005,EXIT,17,1,81,19.069641,72.874534,25.68,0.0,3,1
E00222098,2026-01-01 02:51:42,V03757,Z014,ENTRY,0,2,121,19.12218,72.856114,25.68,0.0,3,1
E00041262,2026-01-01 02:52:00,V05215,Z004,EXIT,90,2,82,19.113867,72.862498,25.68,0.0,3,1
E00008414,2026-01-01 02:52:07,V05277,Z002,ENTRY,0,2,122,19.127946,72.934702,25.68,0.0,3,1
E00222099,2026-01-01 02:52:46,V03507,Z014,EXIT,76,1,121,19.123231,72.855537,25.68,0.0,3,1
E00025782,2026-01-01 02:55:31,V04412,Z003,ENTRY,0,2,108,19.093675,72.857218,25.68,0.0,3,1
E00062756,2026-01-01 02:57:15,V00746,Z005,EXIT,40,0,81,19.068304,72.874151,25.68,0.0,3,1
E00025783,2026-01-01 02:58:06,V03774,Z003,ENTRY,0,3,108,19.093353,72.857029,25.68,0.0,3,1
E00126551,2026-01-01 02:58:23,V03702,Z007,ENTRY,0,1,40,19.081969,72.834104,25.68,0.0,3,1
E00206399,2026-01-01 02:59:51,V01720,Z013,ENTRY,0,3,118,19.131677,72.902164,25.68,0.0,3,1
E00178656,2026-01-01 03:06:52,V02740,Z012,ENTRY,0,4,147,19.058576,72.916871,25.68,0.0,3,1
E00222100,2026-01-01 03:09:44,V04474,Z014,ENTRY,0,2,121,19.122525,72.854291,25.68,0.0,3,1
E00178657,2026-01-01 03:10:01,V05680,Z012,ENTRY,0,5,147,19.058271,72.917682,25.68,0.0,3,1
E00303070,2026-01-01 03:11:18,V02948,Z016,ENTRY,0,2,124,19.038541,72.914671,25.68,0.0,3,1
E00303069,2026-01-01 03:11:18,V04027,Z016,ENTRY,0,1,124,19.039572,72.914823,25.68,0.0,3,1
E00389375,2026-01-01 03:11:33,V01330,Z020,EXIT,49,1,84,19.097798,72.835159,25.68,0.0,3,1
E00362673,2026-01-01 03:13:35,V01338,Z019,ENTRY,0,3,130,19.035506,72.900184,25.68,0.0,3,1
E00152398,2026-01-01 03:14:15,V04975,Z009,ENTRY,0,2,54,19.114643,72.845689,25.68,0.0,3,1
E00092222,2026-01-01 03:15:56,V05157,Z006,EXIT,37,2,133,19.042403,72.840984,25.68,0.0,3,1
E00222101,2026-01-01 03:16:42,V03757,Z014,EXIT,25,1,121,19.12232,72.854393,25.68,0.0,3,1
E00259104,2026-01-01 03:19:35,V01532,Z015,ENTRY,0,2,116,19.110299,72.918372,25.68,0.0,3,1
E00092223,2026-01-01 03:20:26,V04786,Z006,EXIT,41,1,133,19.043047,72.840085,25.68,0.0,3,1
E00303071,2026-01-01 03:22:48,V05729,Z016,ENTRY,0,3,124,19.040073,72.913701,25.68,0.0,3,1
E00008415,2026-01-01 03:23:29,V00007,Z002,EXIT,130,1,122,19.126355,72.933359,25.68,0.0,3,1
E00206400,2026-01-01 03:23:37,V03909,Z013,ENTRY,0,4,118,19.132763,72.902448,25.68,0.0,3,1
E00092224,2026-01-01 03:25:08,V04487,Z006,EXIT,123,0,133,19.044266,72.840686,25.68,0.0,3,1
E00362674,2026-01-01 03:25:59,V04757,Z019,EXIT,94,2,130,19.034772,72.898885,25.68,0.0,3,1
E00008416,2026-01-01 03:26:07,V05277,Z002,EXIT,34,0,122,19.126386,72.933412,25.68,0.0,3,1
E00259105,2026-01-01 03:26:11,V02697,Z015,EXIT,50,1,116,19.110384,72.916596,25.68,0.0,3,1
E00222102,2026-01-01 03:27:18,V03277,Z014,ENTRY,0,2,121,19.123472,72.855557,25.68,0.0,3,1
E00092225,2026-01-01 03:28:48,V00829,Z006,ENTRY,0,1,133,19.043719,72.840301,25.68,0.0,3,1
E00135231,2026-01-01 03:32:09,V03231,Z008,ENTRY,0,1,113,19.023845,72.875709,25.68,0.0,3,1
E00362675,2026-01-01 03:32:18,V05354,Z019,EXIT,53,1,130,19.034575,72.899316,25.68,0.0,3,1
E00178658,2026-01-01 03:32:22,V01418,Z012,ENTRY,0,6,147,19.05888,72.916686,25.68,0.0,3,1
E00163858,2026-01-01 03:32:48,V04810,Z011,ENTRY,0,2,93,19.107459,72.870317,25.68,0.0,3,1
E00025784,2026-01-01 03:33:11,V00126,Z003,ENTRY,0,4,108,19.092667,72.856267,25.68,0.0,3,1
E00178659,2026-01-01 03:33:46,V04411,Z012,EXIT,84,5,147,19.05808,72.91806,25.68,0.0,3,1
E00259106,2026-01-01 03:34:46,V01678,Z015,ENTRY,0,2,116,19.110067,72.918449,25.68,0.0,3,1
E00389376,2026-01-01 03:36:10,V05012,Z020,EXIT,103,0,84,19.098868,72.834664,25.68,0.0,3,1
E00303072,2026-01-01 03:38:18,V02948,Z016,EXIT,27,2,124,19.038632,72.91332,25.68,0.0,3,1
E00062757,2026-01-01 03:39:41,V00623,Z005,ENTRY,0,1,81,19.070002,72.874826,25.68,0.0,3,1
E00041263,2026-01-01 03:39:44,V05729,Z004,ENTRY,0,3,82,19.115504,72.862636,25.68,0.0,3,1
E00222103,2026-01-01 03:41:44,V04474,Z014,EXIT,32,1,121,19.123538,72.855186,25.68,0.0,3,1
E00025785,2026-01-01 03:42:46,V04849,Z003,EXIT,103,3,108,19.09388,72.857238,25.68,0.0,3,1
E00303073,2026-01-01 03:44:41,V04652,Z016,ENTRY,0,3,124,19.040212,72.913712,25.68,0.0,3,1
E00342362,2026-01-01 03:48:34,V03125,Z017,EXIT,161,0,91,19.071128,72.864707,25.68,0.0,3,1
E00342363,2026-01-01 03:49:44,V02814,Z017,ENTRY,0,1,91,19.07238,72.864893,25.68,0.0,3,1
E00025786,2026-01-01 03:52:37,V03023,Z003,ENTRY,0,4,108,19.093396,72.85665,25.68,0.0,3,1
E00062758,2026-01-01 03:52:42,V04397,Z005,ENTRY,0,2,81,19.068684,72.873618,25.68,0.0,3,1
E00389377,2026-01-01 03:53:41,V02832,Z020,ENTRY,0,1,84,19.097666,72.833883,25.68,0.0,3,1
E00126552,2026-01-01 03:53:42,V00288,Z007,ENTRY,0,2,40,19.082303,72.833847,25.68,0.0,3,1
E00092226,2026-01-01 03:54:53,V01620,Z006,ENTRY,0,2,133,19.044259,72.839915,25.68,0.0,3,1
E00152399,2026-01-01 03:56:09,V05878,Z009,EXIT,96,1,54,19.115761,72.844514,25.68,0.0,3,1
E00041264,2026-01-01 03:57:00,V05291,Z004,EXIT,80,2,82,19.114607,72.862087,25.68,0.0,3,1
E00159526,2026-01-01 03:58:42,V04105,Z010,EXIT,176,0,41,19.091417,72.898528,25.68,0.0,3,1
E00303074,2026-01-01 04:01:35,V01490,Z016,ENTRY,0,4,124,19.039251,72.914604,25.68,0.0,3,1
E00008417,2026-01-01 04:04:02,V00253,Z002,ENTRY,0,1,122,19.128072,72.933346,25.68,0.0,3,1
E00062759,2026-01-01 04:04:03,V03720,Z005,ENTRY,0,3,81,19.069967,72.874203,25.68,0.0,3,1
E00025787,2026-01-01 04:05:12,V02602,Z003,ENTRY,0,5,108,19.092483,72.856233,25.68,0.0,3,1
E00222104,2026-01-01 04:05:35,V00084,Z014,ENTRY,0,2,121,19.123963,72.854341,25.68,0.0,3,1
E00178660,2026-01-01 04:07:14,V00694,Z012,ENTRY,0,6,147,19.058864,72.917605,25.68,0.0,3,1
E00222105,2026-01-01 04:10:18,V03277,Z014,EXIT,43,1,121,19.122602,72.855649,25.68,0.0,3,1
E00259107,2026-01-01 04:10:46,V01678,Z015,EXIT,36,1,116,19.110331,72.917588,25.68,0.0,3,1
E00259108,2026-01-01 04:12:35,V01532,Z015,EXIT,53,0,116,19.109892,72.917858,25.68,0.0,3,1
E00178661,2026-01-01 04:12:50,V02529,Z012,ENTRY,0,7,147,19.059358,72.917556,25.68,0.0,3,1
E00163859,2026-01-01 04:13:04,V04914,Z011,ENTRY,0,3,93,19.106332,72.869967,25.68,0.0,3,1
E00041265,2026-01-01 04:13:34,V01150,Z004,EXIT,166,1,82,19.115123,72.861857,25.68,0.0,3,1
E00259109,2026-01-01 04:14:25,V03586,Z015,ENTRY,0,1,116,19.109416,72.917568,25.68,0.0,3,1
E00092227,2026-01-01 04:16:04,V01080,Z006,ENTRY,0,3,133,19.04302,72.839558,25.68,0.0,3,1
E00092228,2026-01-01 04:16:20,V00961,Z006,ENTRY,0,4,133,19.042272,72.840293,25.68,0.0,3,1
E00025788,2026-01-01 04:17:06,V03774,Z003,EXIT,79,4,108,19.092898,72.856475,25.68,0.0,3,1
E00062760,2026-01-01 04:18:03,V03720,Z005,EXIT,14,2,81,19.069674,72.873969,25.68,0.0,3,1
E00092229,2026-01-01 04:18:17,V02272,Z006,ENTRY,0,5,133,19.042807,72.840333,25.68,0.0,3,1
E00206401,2026-01-01 04:18:38,V01408,Z013,EXIT,141,3,118,19.132336,72.902274,25.68,0.0,3,1
E00303075,2026-01-01 04:19:16,V05774,Z016,ENTRY,0,5,124,19.039728,72.913594,25.68,0.0,3,1
E00222106,2026-01-01 04:20:10,V01975,Z014,ENTRY,0,2,121,19.122852,72.855504,25.68,0.0,3,1
E00163860,2026-01-01 04:20:31,V01814,Z011,ENTRY,0,4,93,19.106972,72.869831,25.68,0.0,3,1
E00303076,2026-01-01 04:21:41,V04652,Z016,EXIT,37,4,124,19.038825,72.913804,25.68,0.0,3,1
E00152400,2026-01-01 04:22:15,V04975,Z009,EXIT,68,0,54,19.115688,72.844447,25.68,0.0,3,1
E00222107,2026-01-01 04:22:16,V05175,Z014,ENTRY,0,3,121,19.123052,72.855446,25.68,0.0,3,1
E00092230,2026-01-01 04:23:48,V00829,Z006,EXIT,55,4,133,19.042353,72.840826,25.68,0.0,3,1
E00178662,2026-01-01 04:25:25,V03412,Z012,EXIT,144,6,147,19.059194,72.917173,25.68,0.0,3,1
E00178663,2026-01-01 04:26:01,V05680,Z012,EXIT,76,5,147,19.058017,72.91852,25.68,0.0,3,1
E00135232,2026-01-01 04:28:43,V04439,Z008,ENTRY,0,2,113,19.022951,72.875657,25.68,0.0,3,1
E00259110,2026-01-01 04:29:15,V02326,Z015,ENTRY,0,2,116,19.108542,72.917491,25.68,0.0,3,1
E00222108,2026-01-01 04:30:14,V02958,Z014,ENTRY,0,4,121,19.123445,72.855608,25.68,0.0,3,1
E00163861,2026-01-01 04:31:58,V02653,Z011,EXIT,240,3,93,19.106359,72.870382,25.68,0.0,3,1
E00303077,2026-01-01 04:33:18,V04027,Z016,EXIT,82,3,124,19.038571,72.914513,25.68,0.0,3,1
E00025789,2026-01-01 04:34:31,V04412,Z003,EXIT,99,3,108,19.09278,72.857137,25.68,0.0,3,1
E00303078,2026-01-01 04:38:48,V05729,Z016,EXIT,76,2,124,19.040163,72.913555,25.68,0.0,3,1
E00303079,2026-01-01 04:41:35,V01490,Z016,EXIT,40,1,124,19.039377,72.91488,25.68,0.0,3,1
E00259111,2026-01-01 04:42:25,V03586,Z015,EXIT,28,1,116,19.108541,72.91768,25.68,0.0,3,1
E00362676,2026-01-01 04:43:35,V01338,Z019,EXIT,90,0,130,19.034399,72.899267,25.68,0.0,3,1
E00303080,2026-01-01 04:44:29,V01568,Z016,ENTRY,0,2,124,19.038736,72.913649,25.68,0.0,3,1
E00041266,2026-01-01 04:44:44,V05729,Z004,EXIT,65,0,82,19.115166,72.861247,25.68,0.0,3,1
E00206402,2026-01-01 04:47:26,V05317,Z013,ENTRY,0,4,118,19.132598,72.900955,25.68,0.0,3,1
E00222109,2026-01-01 04:48:16,V05175,Z014,EXIT,26,3,121,19.122275,72.854545,25.68,0.0,3,1
E00362677,2026-01-01 04:49:27,V01074,Z019,ENTRY,0,1,130,19.03538,72.90002,25.68,0.0,3,1
E00062761,2026-01-01 04:51:22,V01056,Z005,ENTRY,0,3,81,19.068297,72.87413,25.68,0.0,3,1
E00041267,2026-01-01 04:52:28,V02934,Z004,ENTRY,0,1,82,19.11518,72.861525,25.68,0.0,3,1
E00222110,2026-01-01 04:52:35,V00084,Z014,EXIT,47,2,121,19.122267,72.855406,25.68,0.0,3,1
E00025790,2026-01-01 04:53:46,V02571,Z003,ENTRY,0,4,108,19.092652,72.857133,25.68,0.0,3,1
E00303081,2026-01-01 04:54:16,V05774,Z016,EXIT,35,1,124,19.038924,72.914516,25.68,0.0,3,1
E00259112,2026-01-01 04:58:15,V02326,Z015,EXIT,29,0,116,19.109602,72.916592,25.68,0.0,3,1
E00178664,2026-01-01 04:58:22,V01418,Z012,EXIT,86,4,147,19.057801,72.917506,25.68,0.0,3,1
E00389378,2026-01-01 04:58:41,V02832,Z020,EXIT,65,0,84,19.098256,72.834707,25.68,0.0,3,1
E00178665,2026-01-01 04:59:29,V01919,Z012,EXIT,157,3,147,19.058047,72.916771,25.68,0.0,3,1
E00303082,2026-01-01 05:00:37,V00729,Z016,ENTRY,0,2,124,19.038869,72.91389,25.68,0.0,3,1
E00008418,2026-01-01 05:01:02,V00880,Z002,ENTRY,0,2,122,19.126545,72.933769,25.68,0.0,3,1
E00025791,2026-01-01 05:01:10,V04925,Z003,ENTRY,0,5,108,19.093257,72.857653,25.68,0.0,3,1
E00062762,2026-01-01 05:01:23,V01777,Z005,ENTRY,0,4,81,19.070107,72.874974,25.68,0.0,3,1
E00342364,2026-01-01 05:01:39,V05499,Z017,ENTRY,0,2,91,19.072938,72.864428,25.68,0.0,3,1
E00092231,2026-01-01 05:01:41,V00337,Z006,ENTRY,0,5,133,19.042475,72.840444,25.68,0.0,3,1
E00092232,2026-01-01 05:01:46,V04133,Z006,ENTRY,0,6,133,19.043112,72.840568,25.68,0.0,3,1
E00206403,2026-01-01 05:01:51,V03799,Z013,ENTRY,0,5,118,19.132483,72.90086,25.68,0.0,3,1
E00178666,2026-01-01 05:01:51,V04670,Z012,ENTRY,0,4,147,19.057763,72.918082,25.68,0.0,3,1
E00092233,2026-01-01 05:01:53,V01620,Z006,EXIT,67,5,133,19.043218,72.841385,25.68,0.0,3,1
E00008419,2026-01-01 05:02:09,V01499,Z002,ENTRY,0,3,122,19.126967,72.933535,25.68,0.0,3,1
E00362678,2026-01-01 05:02:11,V02292,Z019,ENTRY,0,2,130,19.034376,72.899479,25.68,0.0,3,1
E00303083,2026-01-01 05:02:12,V04726,Z016,ENTRY,0,3,124,19.039688,72.913741,25.68,0.0,3,1
E00303084,2026-01-01 05:02:30,V04857,Z016,ENTRY,0,4,124,19.039019,72.914921,25.68,0.0,3,1
E00062763,2026-01-01 05:02:47,V05283,Z005,ENTRY,0,5,81,19.069678,72.873688,25.68,0.0,3,1
E00178667,2026-01-01 05:02:52,V02740,Z012,EXIT,116,3,147,19.058253,72.918096,25.68,0.0,3,1
E00259113,2026-01-01 05:02:59,V00843,Z015,ENTRY,0,1,116,19.108842,72.917612,25.68,0.0,3,1
